1	8	4440275.3	cDNA - Plymouth Marine Lab Coastal Waters project	1-19-DNA-flx	59316369	344216	marine habitat	marine habitat	marine habitat	water	NA	WGS	 	 	coastal waters of a fjord close to Bergen, Norway	 	Norway	 	454	Gilbert	172.323	0	415.461	
2	9	4440276.3	cDNA - Plymouth Marine Lab Coastal Waters project	6-19-DNA-flx	68187679	304020	marine habitat	marine habitat	marine habitat	water	NA	WGS	 	 	coastal waters of a fjord close to Bergen, Norway	 	Norway	 	454	Gilbert	224.287	0	452.94	
3	11	4440279.3	Northern Line Islands 	FannLIMic20050811	30909241	290844	marine habitat	marine habitat	marine habitat	water	NA	WGS	 	~10	Fanning (Tabuaeran) Atoll	 	United States of America	 	454	Dinsdale	106.274	8.708	276.114	
4	12	4440280.3	Northern Line Islands 	FannLIVir20050811	39607682	380355	marine habitat	marine habitat	marine habitat	water	NA	WGS	 	~10	Fanning (Tabuaeran) Atoll	 	United States of America	 	454	Dinsdale	104.133	0	279.106	
5	13	4440281.3	Soudan Mine Metagenome	RedSoudMineMic20050331	35439683	334386	mine drainage	mine drainage	mine drainage	sediment	NA	WGS	 	714	Soudan Underground Mine, on the south shore of Lake Vermilion, MN	 	United States of America	 	454	Edwards	105.984	3.261	474.844	
6	15	4440283.3	Chicken Cecum Microbiome	Chicken Cecum A	32296796	310801	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	NA	WGS	 	 	Urbana, IL	 	United States of America	 	454	White	103.915	0	107.273	
7	16	4440284.3	Chicken Cecum Microbiome	Chicken_Cecum_B	26378422	254712	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	NA	WGS	 	 	Urbana, IL	 	United States of America	 	454	White	103.562	0	267.312	
8	47	4440037.3	Northern Line Islands 	KingLIMic20050821	19753735	188445	marine habitat	marine habitat	marine habitat	water	NA	WGS	 	~10	Kingman Atoll	 	United States of America	 	454	Dinsdale	104.825	4.445	519.871	
9	48	4440038.3	Northern Line Islands 	XmasLIVir20050805	31332362	283390	marine habitat	marine habitat	marine habitat	water	NA	WGS	 	~10	Christmas (Kiritimati) Atoll	 	United States of America	 	454	Dinsdale	110.563	21.769	250.197	
10	49	4440039.3	Northern Line Islands 	PalmLIMic20050818	37055255	351205	marine habitat	marine habitat	marine habitat	water	NA	WGS	 	~10	Palmyra Atoll	 	United States of America	 	454	Dinsdale	105.509	2.897	358.14	
11	50	4440040.3	Northern Line Islands 	PalmLIVir20050818	37461045	358983	marine habitat	marine habitat	marine habitat	water	NA	WGS	 	~10	Palmyra Atoll	 	United States of America	 	454	Dinsdale	104.353	0.614	278.042	
12	51	4440041.3	Northern Line Islands 	XmasLIMic20050805	23693344	227542	marine habitat	marine habitat	marine habitat	water	NA	WGS	 	~10	Christmas (Kiritimati) Atoll	 	United States of America	 	454	Dinsdale	104.127	11.83	356.196	
13	61	4440052.3	Mosquito Metagenome	Mosq1SDVir20060125	34895936	340098	animal-associated habitat	animal-associated habitat	animal-associated habitat	unknown	NA	WGS	 	 	unknown	 	unknown	 	unknown	Dinsdale	102.606	5.362	114.024	
14	65	4440051.3	Human Lung Healthy vs Cystic Fibrosis Metagenome	CFLungPat001Rep2SDVir20060505	87736215	838932	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-associated	NA	WGS	na	na	Adult cystic fibrosis Clinic at the University of California San Diego Medical Center	 	United States of America	 	454	Willner	104.581	0.924	111.087	
15	66	4440053.3	Mosquito Metagenome	MosqDigSDVir20060606	81923676	810301	animal-associated habitat	animal-associated habitat	animal-associated habitat	unknown	NA	WGS	 	 	unknown	 	unknown	 	unknown	Dinsdale	101.103	2.64	218.121	
16	67	4440054.3	Mosquito Metagenome	Mosq2SDVir2060606	84803776	810891	animal-associated habitat	animal-associated habitat	animal-associated habitat	unknown	NA	WGS	 	 	unknown	 	unknown	 	unknown	Dinsdale	104.581	1.833	142.619	
17	83	4440061.3	Microbialites	HBCStromBahamasMic20050111	26691593	257573	marine habitat	marine habitat	marine habitat	unknown	NA	WGS	 	 	Highborne Cay Island	 	Bahamas	 	454	Breitbart	103.627	0	294.252	
18	84	4440067.3	Microbialites	PAStromBahamasMic20050722	33849523	326146	marine habitat	marine habitat	marine habitat	unknown	NA	WGS	 	 	Pozas Azules II	 	Mexico	27-30	454	Breitbart	103.786	25.212	712.626	
19	119	4440102.3	Tampa Bay Viral Metagenome	TBPhageInduction20051213	29107293	280019	marine habitat	marine habitat	marine habitat	water	NA	WGS	 	 	Tampa Bay, CA	 	United States of America	 	454	McDaniel	103.948	0	327.035	
20	147	4440304.3	Marine Phages	GOMVir1994to2001	26809683	263908	marine habitat	marine habitat	marine habitat	water	NA	WGS	 	western GOM = surface to 164, Eastern GOM =3 to 90, Northeastern GOM = 1 to 120,  Texas Coast = 1 to 120	Gulf of Mexico	 	unknown	western GOM = 20.2 to 30.5, Eastern GOM =21.6 to 30.0, Northeastern GOM = 18.7 to 30.0,  Texas Coast = 14.7 to 30.5	454	Rohwer	101.587	7.081	150.471	
21	149	4440305.3	Marine Phages	BBCVir1996to2004	42535763	416456	marine habitat	marine habitat	marine habitat	water	NA	WGS	 	surface to 245	Strait of Georgia and adjacent inlets, Barclay Sound	 	unknown	7.0 to 22.6	454	Rohwer	102.137	0	276.308	
22	206	4440163.5	cDNA - Plymouth Marine Lab Coastal Waters project	Bag1_13thMay_cDNA	31681620	136115	marine habitat	marine habitat	marine habitat	water	NA	WGS	 	 	coastal waters of a fjord close to Bergen, Norway	 	Norway	 	454	Gilbert	232.756	0.853	521.076	
23	207	4440166.5	cDNA - Plymouth Marine Lab Coastal Waters project	Bag6_19thMay_cDNA	26982195	116192	marine habitat	marine habitat	marine habitat	water	NA	WGS	 	 	coastal waters of a fjord close to Bergen, Norway	 	Norway	 	454	Gilbert	232.221	3.512	164.045	
24	212	4440165.5	cDNA - Plymouth Marine Lab Coastal Waters project	Bag6_13thMay_cDNA	38021523	162871	marine habitat	marine habitat	marine habitat	water	NA	WGS	 	 	coastal waters of a fjord close to Bergen, Norway	 	Norway	 	454	Gilbert	233.446	0.95	459.878	
25	218	4440319.3	Stressed Coral Holobionts	BocasPAMic20050921	32282404	316279	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	NA	WGS	 	 	Bocas del Toro	 	Panama	 	454	Vega  Thurber	102.069	14.349	138.94	
26	219	4440320.3	Microbialites	PAStromCCMexVir20050722	31704691	302987	marine habitat	marine habitat	marine habitat	unknown	NA	WGS	 	 	Pozas Azules II	 	Mexico	27-30	454	Breitbart	104.64	0	1024.399	
27	220	4440321.3	Microbialites	RMStromCCMexVir20050722	34251849	328656	marine habitat	marine habitat	marine habitat	unknown	NA	WGS	 	 	Rio Mesquites	 	Mexico	27-30	454	Breitbart	104.218	0	102.274	
28	221	4440322.3	Marine Phages	SARVir20050630	41653979	399343	marine habitat	marine habitat	marine habitat	water	NA	WGS	 	80	Sargasso Sea, Hydrostation S	 	unknown	 	454	Rohwer	104.306	0	178.892	
29	222	4440323.3	Microbialites	HBCStromBahamasVir20050111	15099772	150223	marine habitat	marine habitat	marine habitat	unknown	NA	WGS	 	 	Highborne Cay Island	 	Bahamas	 	454	Breitbart	100.516	4.453	18.033	
30	227	4440329.3	Salton Sea 	SaltonSeaMic20060823	18876339	178407	extreme habitat ; hypersaline	extreme habitat ; hypersaline	extreme habitat ; hypersaline	unknown	NA	WGS	 	14	Salton Sea, California	 	United States of America	30-34	other	Valentine	105.805	0	968.435	
31	290	4440212.3	cDNA - Plymouth Marine Lab Coastal Waters project	Bag1_13thMay_DNA	47289202	209073	marine habitat	marine habitat	marine habitat	water	NA	WGS	 	 	coastal waters of a fjord close to Bergen, Norway	 	Norway	 	454	Gilbert	226.185	0	520.624	
32	291	4440213.3	cDNA - Plymouth Marine Lab Coastal Waters project	Bag6_May13th_DNA	30991689	134915	marine habitat	marine habitat	marine habitat	water	NA	WGS	 	 	coastal waters of a fjord close to Bergen, Norway	 	Norway	 	454	Gilbert	229.713	0.222	485.757	
33	318	4440423.3	Freshwater Fish from Aquaculture Facility Metagenomes - Viral an	Tilapia pond microbes Duplicate	38804235	381076	freshwater	freshwater	freshwater	unknown	NA	WGS	 	 	unknown	 	unknown	 	unknown	Rodriguez-Brito	101.828	24.754	574.897	
34	328	4440433.3	Chula Vista, CA Solar Saltern Study	HighSalternSDbayMicC200407	12641571	123879	marine biome	saline evaporation pond	saline water	water	NA	WGS	 	 	Chula Vista, CA	 	United States of America	 	454	Rodriguez-Brito	102.048	0	58.921	
35	329	4440432.3	Chula Vista, CA Solar Saltern Study	LowSalternSDbayVir20051110	11532248	110511	marine biome	saline evaporation pond	saline water	water	NA	WGS	 	 	Chula Vista, CA	 	United States of America	 	454	Rodriguez-Brito	104.354	0	323.197	
36	333	4440436.3	Chula Vista, CA Solar Saltern Study	LowSalternSDbayVir200407	28054297	268534	marine biome	saline evaporation pond	saline water	water	NA	WGS	 	 	Chula Vista, CA	 	United States of America	 	454	Rodriguez-Brito	104.472	0	769.524	
37	335	4440438.3	Chula Vista, CA Solar Saltern Study	HighSalternSDbayMicD200407	34806789	340725	marine biome	saline evaporation pond	saline water	water	NA	WGS	 	 	Chula Vista, CA	 	United States of America	 	454	Rodriguez-Brito	102.155	4.512	63.347	
38	336	4440439.3	Freshwater Fish from Aquaculture Facility Metagenomes - Viral an	TpondKentSTVir200511	27366887	267640	freshwater	freshwater	freshwater	water	NA	WGS	-69.1896	 	Tilapia Channel (FW1) at Kent SeaTech, Salton Sea, CA	 	United States of America	 	454	Rodriguez-Brito	102.253	8.095	448.614	
39	337	4440440.3	Freshwater Fish from Aquaculture Facility Metagenomes - Viral an	TilPondKentSTMic200511	38804235	381076	freshwater	freshwater	freshwater	water	NA	WGS	-69.1896	 	Tilapia Channel (FW1) at Kent SeaTech, Salton Sea, CA	 	United States of America	 	454	Rodriguez-Brito	101.828	25.192	582.491	
40	341	4440442.5	Human Lung Healthy vs Cystic Fibrosis Metagenome	HealSputRep2SDVir20060707	80663537	770825	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-associated	NA	WGS	na	na	Adult cystic fibrosis Clinic at the University of California San Diego Medical Center	 	United States of America	 	454	Willner	104.646	0	71.577	
41	371	4440452.7	Twin Gut Microflora Study	TS1	54632274	229857	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	NA	WGS	 	 	St. Louis, MO	 	United States of America	 	454	Gordon	237.679	0	289.437	
42	500	4440453.6	Twin Gut Microflora Study	TS2	87628331	502124	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	NA	WGS	 	 	St. Louis, MO	 	United States of America	 	454	Gordon	174.515	0.016	169.418	
43	501	4440460.5	Twin Gut Microflora Study	TS4	102844045	455361	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	NA	WGS	 	 	St. Louis, MO	 	United States of America	 	454	Gordon	225.852	0.135	67.065	
44	502	4440461.5	Twin Gut Microflora Study	TS5	105923024	522134	human-associated habitat	human-associated habitat	human-associated habitat	human-gut	NA	WGS	 	 	St. Louis, MO	 	United States of America	 	454	Gordon	202.866	0.306	157.656	
45	503	4440610.3	Twin Gut Microflora Study	TS19	88860492	552665	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	NA	WGS	 	 	St. Louis, MO	 	United States of America	 	454	Gordon	160.785	0.177	88.115	
46	504	4440611.3	Twin Gut Microflora Study	TS20	103097122	526727	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	NA	WGS	 	 	St. Louis, MO	 	United States of America	 	454	Gordon	195.732	0.13	169.313	
47	506	4440613.3	Twin Gut Microflora Study	TS28	102979597	312665	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	NA	WGS	 	 	St. Louis, MO	 	United States of America	 	454	Gordon	329.361	0.416	260.862	
48	507	4440616.3	Twin Gut Microflora Study	TS29	174824393	507928	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	NA	WGS	 	 	St. Louis, MO	 	United States of America	 	454	Gordon	344.191	1.274	195.828	
49	508	4440614.3	Twin Gut Microflora Study	TS49	98535846	568898	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	NA	WGS	 	 	St. Louis, MO	 	United States of America	 	454	Gordon	173.205	0.094	221.94	
50	509	4440615.3	Twin Gut Microflora Study	TS50	124867948	622554	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	NA	WGS	 	 	St. Louis, MO	 	United States of America	 	454	Gordon	200.574	0.113	193.069	
51	526	4440060.4	Microbialites	Rio Mesquites Bacteria	13334570	124694	marine habitat	marine habitat	marine habitat	unknown	NA	WGS	 	 	Rio Mesquites	 	Mexico	27-30	454	Breitbart	106.938	0	134.411	
52	527	4440595.4	Twin Gut Microflora Study	TS3	111427956	562205	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	NA	WGS	 	 	St. Louis, MO	 	United States of America	 	454	Gordon	198.198	0	146.985	
53	528	4440639.3	Twin Gut Microflora Study	TS21	93430618	440521	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	NA	WGS	 	 	St. Louis, MO	 	United States of America	 	454	Gordon	212.091	0	102.792	
54	529	4440640.3	Twin Gut Microflora Study	TS51	99497413	547519	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	NA	WGS	 	 	St. Louis, MO	 	United States of America	 	454	Gordon	181.724	0.189	270.068	
